,date,fighter,odds,country,Winner,title_bout,weight_class,gender,current_lose_streak,current_win_streak,draw,avg_SIG_STR_landed,avg_SIG_STR_pct,avg_SUB_ATT,avg_TD_landed,avg_TD_pct,longest_win_streak,losses,total_rounds_fought,total_title_bouts,win_by_Decision_Majority,win_by_Decision_Split,win_by_Decision_Unanimous,win_by_KO/TKO,win_by_Submission,win_by_TKO_Doctor_Stoppage,wins,Stance,Height_cms,Reach_cms,Weight_lbs,age,better_rank,finish,finish_details,finish_round,finish_round_time,total_fight_time_secs,kd_bout,sig_str_landed_bout,sig_str_attempted_bout,sig_str_pct_bout,tot_str_landed_bout,tot_str_attempted_bout,td_landed_bout,td_attempted_bout,td_pct_bout,sub_attempts_bout,pass_bout,rev_bout,win_pct,adj_wins,current_lose_streak_dif,current_win_streak_dif,longest_win_streak_dif,wins_dif,losses_dif,total_rounds_fought_dif,total_title_bouts_dif,win_by_Submission_dif,Height_cms_dif,Reach_cms_dif,age_dif,avg_SIG_STR_landed_dif,avg_SUB_ATT_dif,avg_TD_landed_dif,ko_dif,adj_wins_dif
0,2020-09-19,Colby Covington,-335,USA,True,False,Welterweight,MALE,1,0,0,4.17,0.37,0.2,4.91,0.51,7,2,38,2,0,0,6,2,2,0,10,Orthodox,180.34,182.88,170,32,True,,,,,,,,,,,,,,,,,,0.8333333333333334,34,-1,0,-1,-7,-3,-25,-5,-2,5.0800000000000125,-5.0800000000000125,-6,1.79,-0.2,3.8,-4,-20
1,2020-09-19,Tyron Woodley,260,USA,False,False,Welterweight,MALE,2,0,1,2.38,0.49,0.4,1.11,0.39,8,5,63,7,1,3,3,6,4,0,17,Orthodox,175.26,187.96,170,38,False,,,,,,,,,,,,,,,,,,0.7391304347826086,54,1,0,1,7,3,25,5,2,-5.0800000000000125,5.0800000000000125,6,-1.79,0.2,-3.8,4,20
2,2020-09-19,Khamzat Chimaev,-400,USA,True,False,Middleweight,MALE,0,2,0,8.88,0.72,3.2,4.81,0.75,2,0,3,0,0,0,0,1,1,0,2,Orthodox,187.96,190.5,170,26,False,,,,,,,,,,,,,,,,,,1.0,8,-1,2,0,-4,-5,-19,0,-4,2.5400000000000205,-5.0800000000000125,-6,5.57,1.5000000000000002,2.4699999999999998,0,-16
3,2020-09-19,Gerald Meerschaert,300,USA,False,False,Middleweight,MALE,1,0,0,3.31,0.42,1.7,2.34,0.43,2,5,22,0,0,0,0,1,5,0,6,Southpaw,185.42,195.58,185,32,False,,,,,,,,,,,,,,,,,,0.5454545454545454,24,1,-2,0,4,5,19,0,4,-2.5400000000000205,5.0800000000000125,6,-5.57,-1.5000000000000002,-2.4699999999999998,0,16
4,2020-09-19,Johnny Walker,-125,USA,True,False,Light Heavyweight,MALE,2,0,0,4.01,0.7,1.3,0.43,1.0,3,2,7,0,0,0,0,3,0,0,3,Orthodox,198.12,208.28,205,28,True,,,,,,,,,,,,,,,,,,0.6,12,2,-4,-1,-1,2,-2,0,-1,2.539999999999992,7.6200000000000045,-1,0.69,-0.5999999999999999,-0.7,2,0
5,2020-09-19,Ryan Spann,100,USA,False,False,Light Heavyweight,MALE,0,4,0,3.32,0.43,1.9,1.13,0.3,4,0,9,0,0,1,1,1,1,0,4,Orthodox,195.58,200.66,205,29,False,,,,,,,,,,,,,,,,,,1.0,12,-2,4,1,1,-2,2,0,1,-2.539999999999992,-7.6200000000000045,1,-0.69,0.5999999999999999,0.7,-2,0
6,2020-09-19,Mackenzie Dern,-177,USA,True,False,Women's Strawweight,FEMALE,0,1,0,3.14,0.32,1.3,0.43,0.07,2,1,8,0,0,1,0,0,2,0,3,Orthodox,162.56,160.02,115,27,True,,,,,,,,,,,,,,,,,,0.75,9,-1,1,1,-3,-6,-30,0,1,0.0,0.0,-8,0.18000000000000016,1.1,-0.9200000000000002,0,-6
7,2020-09-19,Randa Markos,140,USA,False,False,Women's Strawweight,FEMALE,1,0,1,2.96,0.41,0.2,1.35,0.28,1,7,38,0,0,2,3,0,1,0,6,Orthodox,162.56,160.02,115,35,False,,,,,,,,,,,,,,,,,,0.42857142857142855,15,1,-1,-1,3,6,30,0,-1,0.0,0.0,8,-0.18000000000000016,-1.1,0.9200000000000002,0,6
8,2020-09-19,Kevin Holland,-265,USA,True,False,Middleweight,MALE,0,2,0,4.65,0.55,1.0,1.12,0.43,3,2,18,0,0,1,1,2,1,0,5,Orthodox,190.5,205.74,170,27,False,,,,,,,,,,,,,,,,,,0.7142857142857143,16,0,-1,0,0,-2,-3,0,0,7.6200000000000045,17.78,-2,1.6800000000000002,0.8,-0.19999999999999996,0,0
9,2020-09-19,Darren Stewart,205,USA,False,False,Middleweight,MALE,0,3,0,2.97,0.43,0.2,1.32,0.42,3,4,21,0,0,1,1,2,1,0,5,Orthodox,182.88,187.96,185,29,False,,,,,,,,,,,,,,,,,,0.5555555555555556,16,0,1,0,0,2,3,0,0,-7.6200000000000045,-17.78,2,-1.6800000000000002,-0.8,0.19999999999999996,0,0
